answer	clue
HEATDISSIPATION	dissipation of heat
HEATED	made warm or hot (‘het’ is a dialectal variant of ‘heated’)
HEATEDLY	in a heated manner
HEATEDUP	made warm or hot (‘het’ is a dialectal variant of ‘heated’)
HEATENERGY	a form of energy that is transferred by a difference in temperature
HEATENGINE	any engine that makes use of heat to do work
HEATER	(baseball) a pitch thrown with maximum velocity
HEATEXCHANGER	device that transfers heat from one liquid to another without allowing them to mix
HEATEXHAUSTION	a condition marked by dizziness and nausea and weakness caused by depletion of body fluids and electrolytes
HEATFLASH	a flash of intense heat (as released by an atomic explosion)
HEATH	a tract of level wasteland; uncultivated land with sandy soil and scrubby vegetation
HEATHASTER	common North American perennial with heathlike foliage and small white flower heads
HEATHEN	not acknowledging the God of Christianity and Judaism and Islam
HEATHENISH	not acknowledging the God of Christianity and Judaism and Islam
HEATHENISM	any of various religions other than Christianity or Judaism or Islamism
HEATHER	interwoven yarns of mixed colors producing muted greyish shades with flecks of color
HEATHERBELL	common low European shrub with purple-red flowers
HEATHERMIXTURE	interwoven yarns of mixed colors producing muted greyish shades with flecks of color
HEATHFAMILY	heathers
HEATHFOWL	large northern European grouse that is black with a lyre-shaped tail
HEATHHEN	female black grouse
HEATHLAND	a tract of level wasteland; uncultivated land with sandy soil and scrubby vegetation
HEATHLIKE	resembling heath
HEATHPEA	European herb bearing small tubers used for food and in Scotland to flavor whiskey
HEATHVIOLET	Old World leafy-stemmed blue-flowered violet
HEATHYPERPYREXIA	collapse caused by exposure to excessive heat
HEATING	utility to warm a building
HEATINGELEMENT	the component of a heater or range that transforms fuel or electricity into heat
HEATINGOIL	a petroleum product used for fuel
HEATINGPAD	heater consisting of electrical heating elements contained in a flexible pad
HEATINGPLANT	utility to warm a building
HEATINGSYSTEM	utility to warm a building
HEATLAMP	electric heater consisting of a high-power incandescent lamp that emits infrared radiation
HEATLESS	without generating heat
HEATOFCONDENSATION	heat liberated by a unit mass of gas at its boiling point as it condenses into a liquid
HEATOFDISSOCIATION	the heat required for a fluid substance to break up into simpler constituents
HEATOFFORMATION	the heat evolved or absorbed during the formation of one mole of a substance from its component elements
HEATOFSOLIDIFICATION	heat liberated by a unit mass of liquid at its freezing point when it solidifies
HEATOFSOLUTION	the heat evolved or absorbed when one mole of a substance is dissolved in a large volume of a solvent
HEATOFSUBLIMATION	heat absorbed by a unit mass of material when it changes from a solid to a gaseous state
HEATOFTRANSFORMATION	heat absorbed or radiated during a change of phase at a constant temperature and pressure
HEATPROSTRATION	a condition marked by dizziness and nausea and weakness caused by depletion of body fluids and electrolytes
HEATRASH	obstruction of the sweat ducts during high heat and humidity
HEATRAY	a ray that produces a thermal effect
HEATRELEASING	(of a chemical reaction or compound) occurring or formed with the liberation of heat
HEATSHIELD	a protective covering that protects a spacecraft from overheating on reentry
HEATSINK	a metal conductor specially designed to conduct (and radiate) heat
HEATSTROKE	collapse caused by exposure to excessive heat
HEATUNIT	a unit of measurement for work
HEATUP	make more intense
HEATWAVE	a wave of unusually hot weather
HEAUME	a large medieval helmet supported on the shoulders
HEAVE	breathe noisily, as when one is exhausted
HEAVEN	any place of complete bliss and delight and peace
HEAVENLY	of or belonging to heaven or god
HEAVENLYBODY	natural objects visible in the sky
HEAVENLYCITY	phrases used to refer to Heaven
HEAVENLYJEWEL	first of the three members of the Taoist Trinity
HEAVENS	the apparent surface of the imaginary sphere on which celestial bodies appear to be projected
HEAVENSENT	peculiarly fortunate or appropriate; as if by divine intervention
HEAVENWARD	toward heaven
HEAVENWARDLY	toward heaven
HEAVENWARDS	toward heaven
HEAVER	a bar used as a lever (as in twisting rope)
HEAVES	a chronic emphysema of the horse that causes difficult expiration and heaving of the flanks
HEAVEUP	lift or elevate
HEAVIERTHANAIR	relating to an aircraft heavier than the air it displaces
HEAVIERTHANAIRCRAFT	a non-buoyant aircraft that requires a source of power to hold it aloft and to propel it
HEAVILY	to a considerable degree
HEAVILYTRAVELED	subject to much traffic or travel
HEAVINESS	unwelcome burdensome difficulty
HEAVING	throwing something heavy (with great effort)
HEAVISIDELAYER	a region of the ionosphere (from 50 to 90 miles up) that reflects radio waves of medium length
HEAVY	in an advanced stage of pregnancy
HEAVYARMED	having massive arms
HEAVYCOATED	wearing a heavy coat
HEAVYCREAM	contains more than 36% butterfat
HEAVYDUTY	designed for heavy work
HEAVYFOOTED	(of movement) lacking ease or lightness
HEAVYHANDED	lacking physical movement skills, especially with the hands
HEAVYHANDEDNESS	The property of being clumsy and awkward, and thus excessive.
HEAVYHEARTED	depressed
HEAVYHEARTEDNESS	a feeling of dispirited melancholy
HEAVYHITTER	an influential person who works hard to promote the causes they are interested in
HEAVYHYDROGEN	an isotope of hydrogen which has one neutron (as opposed to zero neutrons in hydrogen)
HEAVYLADEN	bearing a physically heavy weight or load
HEAVYLIFTING	difficult work
HEAVYLIMBED	having heavy limbs
HEAVYMETAL	loud and harsh sounding rock music with a strong beat; lyrics usually involve violent or fantastic imagery
HEAVYMETALMUSIC	loud and harsh sounding rock music with a strong beat; lyrics usually involve violent or fantastic imagery
HEAVYSET	having a short and solid form or stature
HEAVYSPAR	a white or colorless mineral (BaSO4); the main source of barium
HEAVYSWELL	a broad and deep undulation of the ocean
HEAVYSYLLABLE	a syllable with a branching nucleus or a branching rime.
HEAVYWATER	water containing a substantial proportion of deuterium atoms, used in nuclear reactors
HEAVYWEAPON	large but transportable armament
HEAVYWEIGHT	a person of exceptional importance and reputation
HEAVYWHIPPINGCREAM	cream with a fat content of 48% or more
HEBBEL	German dramatist (1813-1863)
HEBDOMAD	any period of seven consecutive days
HEBDOMADAL	of or occurring every seven days
HEBDOMADALLY	without missing a week
HEBDOMADARY	of or occurring every seven days
HEBEI	a populous province in northeastern China
HEBEIPROVINCE	a populous province in northeastern China
HEBETUDE	mental lethargy or dullness
HEBRAIC	of or relating to the language of the Hebrews
HEBRAICAL	of or relating to the language of the Hebrews
HEBRAISM	Jews collectively who practice a religion based on the Torah and the Talmud
HEBRAIST	linguist specializing in the Hebrew language
HEBREW	of or relating to the language of the Hebrews
HEBREWBIBLE	the Jewish scriptures which consist of three divisions — the Torah and the Prophets and the Writings
HEBREWLANGUAGE	the ancient Canaanitic language of the Hebrews that has been revived as the official language of Israel
HEBREWLESSON	instruction in the Hebrew language
HEBREWSCRIPTURE	the Jewish scriptures which consist of three divisions — the Torah and the Prophets and the Writings
HEBRIDEAN	of or relating to the Hebrides
HEBRIDEANISLANDS	a group of more than 500 islands off the western coast of Scotland
HEBRIDEANISLES	a group of more than 500 islands off the western coast of Scotland
HEBRIDES	a group of more than 500 islands off the western coast of Scotland
HECATOMB	a great sacrifice; an ancient Greek or Roman sacrifice of 100 oxen
HECHT	United States writer of stories and plays (1894-1946)
HECKELPHONE	an oboe pitched an octave below the ordinary oboe
HECKLE	challenge aggressively
HECKLER	someone who tries to embarrass you with gibes and questions and objections
HECKLING	shouting to interrupt a speech with which you disagree
HECTARE	(abbreviated ‘ha’) a unit of surface area equal to 100 ares (or 10,000 square meters)
HECTIC	marked by intense agitation or emotion
HECTICALLY	in a frenzied manner
HECTOGRAM	100 grams
HECTOGRAPH	copy on a duplicator
HECTOLITER	a metric unit of volume or capacity equal to 100 liters
HECTOLITRE	a metric unit of volume or capacity equal to 100 liters
HECTOMETER	a metric unit of length equal to 100 meters
HECTOMETRE	a metric unit of length equal to 100 meters
HECTOR	be bossy towards
HECTORBERLIOZ	French composer of romantic works (1803-1869)
HECTORHUGHMUNRO	British writer of short stories (1870-1916)
HEDEOMA	small genus of American herbs (American pennyroyal)
HEDEOMAOIL	aromatic oil from American pennyroyal
HEDERA	Old World woody vines
HEDERAHELIX	Old World vine with lobed evergreen leaves and black berrylike fruits
HEDGE	minimize loss or risk
HEDGEBINDWEED	common Eurasian and American wild climber with pink flowers; sometimes placed in genus Convolvulus
HEDGED	evasively worded in order to avoid an unqualified statement
HEDGEGARLIC	European herb that smells like garlic
HEDGEHOG	small nocturnal Old World mammal covered with both hair and protective spines
HEDGEHOGCACTUS	cactus of the genus Echinocactus having stout sharp spines
HEDGEHOGCEREUS	cactus of the genus Echinocereus
HEDGEHOP	fly very close to the ground
HEDGEIN	enclose or bound in with or as it with a hedge or hedges
HEDGEMAPLE	shrubby Eurasian maple often used as a hedge
HEDGENETTLE	foul-smelling perennial Eurasiatic herb with a green creeping rhizome
HEDGEPINK	plant of European origin having pink or white flowers and leaves yielding a detergent when bruised
HEDGER	a gardener who takes care of and trims hedges
HEDGEROW	a fence formed by a row of closely planted shrubs or bushes
HEDGESPARROW	small brownish European songbird
HEDGETHORN	South African shrub having forked spines and plumlike fruit; frequently used as hedging
HEDGETRIMMER	a garden tool for trimming hedges
HEDGEVIOLET	common European violet that grows in woods and hedgerows
HEDGING	an intentionally noncommittal or ambiguous statement
HEDONIC	devoted to pleasure
HEDONISM	an ethical system that evaluates the pursuit of pleasure as the highest good
HEDONIST	someone motivated by desires for sensual pleasures
HEDONISTIC	devoted to pleasure
HEDYSARUM	genus of herbs of north temperate regions
HEEBIEJEEBIES	extreme nervousness
HEED	pay close attention to; give heed to
HEEDFUL	giving attention
HEEDFULLY	in a careful deliberate manner
HEEDFULNESS	the trait of staying aware of (paying close attention to) your responsibilities
HEEDLESS	characterized by careless unconcern
HEEDLESSLY	without care or concern
HEEDLESSNESS	the trait of forgetting or ignoring your responsibilities
HEEHAW	braying characteristic of donkeys
